edge_id	source	target	relation	evidence_class	evidence_scope	project_dataset	project_result_file	literature_reference	doi	direct_test_required
E01	WNT9B+ endothelium	HSC deactivation	activates	project-supported association	Resolver-associated endothelial state linked to HSC deactivation; direct ligand perturbation remains pending	GSE295293; GSE305331	data/UQ_spatial_derived/S13_mouse_resolver_lock_trajectory/GSE305331_cross_etiology_phase_trajectories.tsv	Li et al., Cell Reports 2026	10.1016/j.celrep.2025.116915	true
E02	TREM2+ macrophage	MMP2 / 9 / 14	activates	literature-established	Restorative macrophages support matrix-degrading activity during regression	GSE261829; GSE295293	data/figure_reconstruction/LAM_priority_gene_fates.tsv	Ganguly et al., PNAS 2024; Fallowfield et al., Journal of Immunology 2007	10.1073/pnas.2405746121;10.4049/jimmunol.178.8.5288	false
E03	TREM2+ macrophage	PLAU / PLAT	activates	project-supported association	Macrophage resolver activity is spatially aligned with protease-activation potential	UQ MASLD Visium	data/UQ_spatial_derived/S14_spatial_domain_wall/domain_wall_boundary_effect_summary.tsv	Ganguly et al., PNAS 2024	10.1073/pnas.2405746121	true
E04	PLAU / PLAT	Plasmin	activates	literature-established	Plasminogen activators generate plasmin	curated mechanism	data/mechanism_summary/mechanism_edge_evidence.tsv	Venkatraman et al., Biophysical Journal 2012	10.1016/j.bpj.2012.06.050	false
E05	Plasmin	THBS-dependent TGF-beta activation	inhibits	literature-established	Plasmin produces a switch-like reduction in thrombospondin-dependent TGF-beta activation	curated mechanism	data/mechanism_summary/mechanism_edge_evidence.tsv	Venkatraman et al., Biophysical Journal 2012	10.1016/j.bpj.2012.06.050	false
E06	THBS-dependent TGF-beta activation	Active TGF-beta	activates	literature-established	Thrombospondin-dependent activation releases active TGF-beta	curated mechanism	data/mechanism_summary/mechanism_edge_evidence.tsv	Venkatraman et al., Biophysical Journal 2012	10.1016/j.bpj.2012.06.050	false
E07	Active TGF-beta	HSC retention	activates	literature-established	Canonical profibrotic signaling maintains activated matrix-producing HSC states	curated mechanism	data/mechanism_summary/mechanism_edge_evidence.tsv	Kisseleva and Brenner, Nature Reviews Gastroenterology and Hepatology 2021	10.1038/s41575-020-00372-7	false
E08	HSC retention	SPON1-rich matrix	activates	project-supported association	SPON1 is retained in disease-associated human HSCs and residual mouse HSC programs	GSE244832; GSE295293	data/figure_reconstruction/integrated_retention_candidates.tsv	Kim et al., Journal of Hepatology 2025	10.1016/j.jhep.2024.10.044	true
E09	SPON1-rich matrix	Integrin alpha-v	activates	testable candidate edge	The proposed SPON1-integrin arm is a direct binding and signaling hypothesis	GSE244832; UQ MASLD Visium	data/figure_reconstruction/integrated_retention_candidates.tsv	Kim et al., Journal of Hepatology 2025	10.1016/j.jhep.2024.10.044	true
E10	Integrin alpha-v	Active TGF-beta	activates	literature-established	Alpha-v integrins activate a core profibrotic TGF-beta pathway	curated mechanism	data/mechanism_summary/mechanism_edge_evidence.tsv	Henderson et al., Nature Medicine 2013	10.1038/nm.3282	false
E11	HSC retention	SERPINE1 / PAI-1	activates	project-supported association	SERPINE1 belongs to the frozen HSC-retention module and the antiproteolytic brake	UQ MASLD Visium; GSE244832	data/UQ_spatial_derived/S10_UQ_spatial_proteolytic_lock/UQ_proteolytic_lock_patient_summary.tsv	Wang et al., FEBS Letters 2007	10.1016/j.febslet.2007.05.049	true
E12	HSC retention	TIMP1 / TIMP2	activates	project-supported association	TIMP activity rises within retention-dominant scar fields	UQ MASLD Visium	data/UQ_spatial_derived/S14_spatial_domain_wall/domain_wall_boundary_effect_summary.tsv	Yoshiji et al., Hepatology 2002; Parsons et al., Hepatology 2004	10.1053/jhep.2002.35625;10.1002/hep.20425	true
E13	SERPINE1 / PAI-1	PLAU / PLAT	inhibits	literature-established	PAI-1 inhibits plasminogen activators and limits proteolytic fibrinolysis	curated mechanism	data/mechanism_summary/mechanism_edge_evidence.tsv	Wang et al., FEBS Letters 2007	10.1016/j.febslet.2007.05.049	false
E14	TIMP1 / TIMP2	MMP2 / 9 / 14	inhibits	literature-established	TIMP activity restrains metalloproteinase-mediated matrix degradation and resolution	curated mechanism	data/mechanism_summary/mechanism_edge_evidence.tsv	Yoshiji et al., Hepatology 2002; Parsons et al., Hepatology 2004	10.1053/jhep.2002.35625;10.1002/hep.20425	false
E15	MMP2 / 9 / 14	ECM cleavage	activates	literature-established	Metalloproteinase activity supports scar degradation	GSE261829; UQ MASLD Visium	data/UQ_spatial_derived/S10_UQ_spatial_proteolytic_lock/UQ_proteolytic_lock_gene_detection.tsv	Fallowfield et al., Journal of Immunology 2007	10.4049/jimmunol.178.8.5288	false
E16	ECM cleavage	Retained matrix	inhibits	literature-established	Matrix cleavage reduces persistent scar material	curated mechanism	data/mechanism_summary/mechanism_edge_evidence.tsv	Iredale et al., Journal of Clinical Investigation 1998	10.1172/JCI1018	false
E17	HSC retention	LOX / crosslinking	activates	project-supported association	Retained HSC and structural-ECM programs support a crosslinking arm	UQ MASLD Visium	data/UQ_spatial_derived/S10_UQ_spatial_proteolytic_lock/UQ_proteolytic_lock_spot_scores.parquet	Liu et al., FASEB Journal 2016; Ikenaga et al., Gut 2017	10.1096/fj.14-268425;10.1136/gutjnl-2016-312473	true
E18	LOX / crosslinking	Stiff ECM	activates	literature-established	LOX-family collagen crosslinking stabilizes scar and limits reversal	curated mechanism	data/mechanism_summary/mechanism_edge_evidence.tsv	Liu et al., FASEB Journal 2016; Ikenaga et al., Gut 2017	10.1096/fj.14-268425;10.1136/gutjnl-2016-312473	false
E19	Stiff ECM	YAP / TEAD	activates	literature-established	Mechanical matrix signaling activates YAP in hepatic stellate cells	curated mechanism	data/mechanism_summary/mechanism_edge_evidence.tsv	Mannaerts et al., Journal of Hepatology 2015	10.1016/j.jhep.2014.09.011	false
E20	YAP / TEAD	HSC retention	activates	literature-established	YAP activity supports the activated hepatic stellate-cell state	GSE136103 HSC perturbation	data/perturbation_derived/celloracle/celloracle_v16_ap1_runx2_ko.tsv	Mannaerts et al., Journal of Hepatology 2015	10.1016/j.jhep.2014.09.011	false
E21	Stiff ECM	AP-1 / RUNX	activates	project-supported association	Motif and perturbation analyses place AP-1 and RUNX in a context-dependent retention architecture	GSE136103; scGPT; CellOracle; LINCS	data/perturbation_derived/celloracle/celloracle_v16_ap1_runx2_ko.tsv	Kim et al., Journal of Hepatology 2025	10.1016/j.jhep.2024.10.044	true
E22	AP-1 / RUNX	HSC retention	activates	testable candidate edge	Cross-platform direction is subunit- and context-dependent; direct phase-resolved perturbation is required	GSE136103; scGPT; CellOracle; LINCS	data/perturbation_derived/LINCS_AP1/AP1_HEPG2_arbitration.tsv	Kim et al., Journal of Hepatology 2025	10.1016/j.jhep.2024.10.044	true
E23	Retained matrix	Stiff ECM	activates	literature-established	Accumulated and crosslinked matrix increases mechanical restraint	curated mechanism	data/mechanism_summary/mechanism_edge_evidence.tsv	Liu et al., FASEB Journal 2016	10.1096/fj.14-268425	false
E24	HSC retention	Retained matrix	activates	project-supported association	Retention-dominant HSC programs increasingly occupy the scar field across fibrosis stages	UQ MASLD Visium	data/UQ_spatial_derived/S14_spatial_domain_wall/spatial_domain_stage_trends.tsv	Vu et al., JHEP Reports 2026	10.1016/j.jhepr.2025.101657	true
