date_time	item	classification	evidence	already_seen	not_yet_analyzed	source
2026-07-11	v16 scientific outline	data-driven refinement	Five scientific spines; explicit evolution after staged analyses	Multiple public and clinical analyses	Not fully reconstructable	archived v16 scientific outline (v16_科学总纲.md)
2026-07-11 19:54	UQ connected-component geometry	planned reconstruction	Pure coordinate-based component outputs created	Visium positions and published source material	UQ ECM/retention/resolver scores not yet generated in this run	UQ_Visium_component_summary.tsv file timestamp
2026-07-11 20:04	UQ 33-biopsy curated map	data-driven reconstruction	Mapping table timestamp; Figure S1E registration	Component geometry and published layout/stage colors	Module score output timestamp 20:15	UQ_Visium_curated_biopsy_map.tsv
2026-07-11 20:15	UQ ECM/retention/resolver scoring	planned analysis after reconstruction	Spot score and trend output timestamps	Curated biopsy map	Later basin/topology refinements	UQ_Visium_spot_module_scores.parquet
2026-07-12 10:30	Three linked predictions	frozen v16 questions	Working draft explicitly says three linked predictions	GSE295293, GSE305331, UQ and LINCS analyses substantially complete	Later basin/topology and final sequence synthesis	v16_Main_Manuscript_Working_Draft_EN.md:15
2026-07-12 10:39	v16 task checklist	analysis chronology	Lists GSE306327, UQ, LINCS scoring and ordered-pair hypothesis as completed	Core results	Cannot establish from checklist	v16_执行任务清单.md:48-70,102-110
2026-07-12 15:38	Sequential pair scoring script	post-hoc exploratory	Script filesystem timestamp; primary and 27 sensitivity weights encoded	Name-collapsed compound scores and selected focus compounds	No record proving weights fixed before observing ezetimibe/verteporfin	sequential_basin_switch_drugs.py
2026-07-12 16:07	Four linked predictions	final narrative organization	Earliest located exact four-prediction formulation	Core spatial and sequence results	Prospective wet-lab equal-exposure experiment	Final_Main_Manuscript_EN.md:23
First located 2026-07-11	Scar top-15% threshold	analysis rule; prespecification unproven	Encoded in GSE306327 and UQ scripts; 10/15/20% later sensitivity	Spatial datasets	No earlier protocol located	GSE306327_reaction_front_spatial.py; UQ_Visium_resolver_window_analysis.py
First located 2026-07-12	State posterior 0.50; 0.40/0.60/0.67 sensitivity	data-driven refinement / planned sensitivity unproven	Encoded in spatial-domain analysis and manuscript methods	UQ basin results	No pre-analysis freeze located	spatial_domain_wall_resolver_window.py; Main_Manuscript_SpatialOccupation_Final.md:294-296
Documented by 2026-07-11	Clinical CAP 280 / LSM 9.5 thresholds	prespecified within v16 clinical stage	Stage-01 report labels four states and pre-specified history model	Institutional cohort	Predates final RW framing, not data-independent preregistration	阶段01_启动与临床路径审计_20260711.md:40-43,96
Later manuscript/sensitivity stage	LSM 12.5 kPa	planned sensitivity / clinical reference	Higher-threshold sensitivity stratum in final methods	Clinical distributions	No independent timestamped freeze located	Main_Manuscript_SpatialOccupation_Final.md:206
Later manuscript stage	CAP decline 20 dB/m and relative LSM decline 20%	operational definitions; a-priori wording unsupported by independent freeze	Final manuscript definitions; 20% LSM informed by Baveno VII	Longitudinal cohort	No dated protocol located	Main_Manuscript_SpatialOccupation_Final.md:66,210
2026-07-12 mechanism expansion	Clearance-inefficiency score	post-hoc exploratory	Explicitly treated as post-hoc in manuscript history; generated in S10	UQ module scores	No prospective freeze	S10_UQ_spatial_proteolytic_lock
By 2026-07-12 10:39	JB321/JB337 label conflict	data-quality sensitivity	Processed metadata and pathology supplement disagreed; both label assignments analyzed	GSE244832 metadata and supplement	Original author adjudication unavailable	v16_执行任务清单.md:59; final Methods
Not documented	Module gene-list freeze	data-driven refinement	Lists are encoded in dated scripts, but no independent freeze artifact was found	Relevant datasets	Cannot establish	Dataset-specific scripts
Not documented	Ezetimibe-verteporfin before/after rule freeze	post-hoc mechanism-anchored nomination	FOCUS list and scoring rules coexist in same script; no earlier immutable rule file	Compound-level scores and biological identities	Prospective wet-lab order test	sequential_basin_switch_drugs.py
